                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4837,                 5.5175,                 4.2052,                 4.3339,                 7.3378,                  4.252,                      0,                      0,                      0,                      0,                 4.5343,                 5.6074,                 4.1892,                 4.4639,                  6.992,                 4.1813,              0.0002361,              0.0002361,              0.0002361
                      2,                 3.9721,                 5.1444,                 3.7181,                 3.7978,                 5.9965,                 3.6443,                0.00229,                0.00718,                0.00131,                 0.0003,                 3.7448,                 4.8491,                  3.447,                 3.5478,                 5.2904,                 3.3092,             0.00045063,             0.00045063,             0.00045063
                      3,                 3.6585,                 4.7108,                 3.2725,                 3.4797,                 5.2075,                 3.0648,                0.00286,                0.02332,                0.00203,                0.00054,                  3.543,                 4.4521,                 3.0944,                 3.3433,                  4.894,                 2.8359,              0.0006416,              0.0006416,              0.0006416
                      4,                 3.4954,                 4.4376,                 2.9776,                 3.3314,                  4.937,                 2.7041,                0.60662,                0.01143,                0.00424,                 0.0012,                 3.3989,                  4.168,                 2.7568,                  3.183,                 4.5967,                 2.5439,             0.00060797,             0.00060797,             0.00060797
